duration,terrain,area,rainfall
2.5,S,30.0,585.5131245123476
2.5,S,40.0,571.6549122352715
2.5,S,50.0,560.5691209648619
2.5,S,60.0,550.4086378568854
2.5,S,70.0,542.5561699340432
2.5,S,80.0,534.2439674971777
2.5,S,90.0,527.3168077367684
2.5,S,100.0,520.8517181441368
2.5,S,200.0,475.5988159250966
2.5,S,300.0,447.4327780231906
2.5,S,400.0,427.1168723903724
2.5,S,500.0,411.87945657122646
2.5,S,600.0,398.4895428719402
2.5,S,700.0,387.4084229090398
2.5,S,800.0,377.2510540060693
2.5,S,900.0,368.0174361630286
2.5,S,1000.0,360.1684717208183
3.0,S,1e-05,810.0
3.0,S,1.0,727.356598475732
3.0,S,2.0,712.0880406065253
3.0,S,3.0,701.450694856992
3.0,S,4.0,693.1283712538568
3.0,S,5.0,686.6554961487101
3.0,S,6.0,680.1853459729437
3.0,S,7.0,675.5619193657855
3.0,S,8.0,670.0174666280776
3.0,S,9.0,666.3193481833522
3.0,S,10.0,661.6994250568258
3.0,S,20.0,632.591729416205
3.0,S,30.0,614.1132047369766
3.0,S,40.0,600.2546031842746
3.0,S,50.0,589.6304928060172
3.0,S,60.0,580.3925929310932
3.0,S,70.0,572.5401250082509
3.0,S,80.0,565.1505058044381
3.0,S,90.0,558.2233460440287
3.0,S,100.0,552.6808396844498
3.0,S,200.0,510.65658950546765
3.0,S,300.0,484.7973989618188
3.0,S,400.0,465.8653681785794
3.0,S,500.0,450.6275630838077
3.0,S,600.0,438.1606218931997
3.0,S,700.0,427.5407935468256
3.0,S,800.0,418.30600787690764
3.0,S,900.0,409.53368165039325
3.0,S,1000.0,402.14600882470916
4.0,S,1e-05,900.0
4.0,S,1.0,793.3212996389892
4.0,S,2.0,778.5140333863086
4.0,S,3.0,766.9541044037229
4.0,S,4.0,758.6317808005876
4.0,S,5.0,752.1589056954409
4.0,S,6.0,746.1500471362008
4.0,S,7.0,741.0653289125162
4.0,S,8.0,736.443459407861
4.0,S,9.0,732.7453409631356
4.0,S,10.0,729.0480010696618
4.0,S,20.0,701.785471895146
4.0,S,30.0,684.2295304489702
4.0,S,40.0,669.4487349388414
4.0,S,50.0,657.4403604353794
4.0,S,60.0,647.7411689439291
4.0,S,70.0,638.5048261715081
4.0,S,80.0,631.1152069676951
