area,zone,duration,depth
85.0,GSAM_IA,36.0,744.484
85.0,GSAM_IA,48.0,796.028
85.0,GSAM_IA,72.0,842.309
85.0,GSAM_IA,96.0,856.499
85.0,GSAM_IS,24.0,456.632
85.0,GSAM_IS,36.0,487.1
85.0,GSAM_IS,48.0,505.916
85.0,GSAM_IS,72.0,548.653
85.0,GSAM_IS,96.0,575.714
90.0,GSAM_CA,24.0,543.865
90.0,GSAM_CA,36.0,672.917
90.0,GSAM_CA,48.0,792.151
90.0,GSAM_CA,72.0,1004.358
90.0,GSAM_CA,96.0,1076.552
90.0,GSAM_CS,24.0,803.461
90.0,GSAM_CS,36.0,895.103
90.0,GSAM_CS,48.0,948.071
